#TYPE AzureOperations
"ProviderNamespace","Operation","OperationName","ResourceName","IsDataAction","Description"
"Microsoft Data Factory","Microsoft.DataFactory/factories/privateEndpointConnectionProxies/write","Create or Update private Endpoint Connection Proxy",,"False","Create or Update private Endpoint Connection Proxy."
"Microsoft Data Factory","Microsoft.DataFactory/factories/privateEndpointConnectionProxies/delete","Delete Private Endpoint Connection Proxy",,"False","Delete Private Endpoint Connection Proxy."
"Microsoft Data Factory","Microsoft.DataFactory/factories/privateEndpointConnectionProxies/validate/action","Validate a Private Endpoint Connection Proxy",,"False","Validate a Private Endpoint Connection Proxy."
"Microsoft Data Factory","Microsoft.DataFactory/factories/privateEndpointConnectionProxies/operationstatuses/read","Read the status of creating a Private Endpoint Connection Proxy",,"False","Read the status of creating a Private Endpoint Connection Proxy."
"Microsoft Data Factory","Microsoft.DataFactory/factories/privateEndpointConnectionProxies/operationresults/read","Read the results of creating a Private Endpoint Connection Proxy",,"False","Read the results of creating a Private Endpoint Connection Proxy."
"Microsoft Data Factory","Microsoft.DataFactory/factories/managedVirtualNetworks/read","Read Managed Virtual Network",,"False","Read Managed Virtual Network."
"Microsoft Data Factory","Microsoft.DataFactory/factories/managedVirtualNetworks/write","Create or Update Managed Virtual Network",,"False","Create or Update Managed Virtual Network."
"Microsoft Data Factory","Microsoft.DataFactory/factories/managedVirtualNetworks/managedPrivateEndpoints/read","Read Managed Private Endpoint",,"False","Read Managed Private Endpoint."
"Microsoft Data Factory","Microsoft.DataFactory/factories/managedVirtualNetworks/managedPrivateEndpoints/write","Create or Update Managed Private Endpoint",,"False","Create or Update Managed Private Endpoint."
"Microsoft Data Factory","Microsoft.DataFactory/factories/managedVirtualNetworks/managedPrivateEndpoints/delete","Delete Managed Private Endpoint",,"False","Delete Managed Private Endpoint."
"Microsoft Data Factory","Microsoft.DataFactory/factories/queryFeaturesValue/read","Read exposure control feature values for a list of features",,"False","Reads exposure control feature values for a list of features."
"Microsoft Data Factory","Microsoft.DataFactory/factories/privateEndpointConnections/read","Read Private Endpoint Connection",,"False","Read Private Endpoint Connection."
"Microsoft Data Factory","Microsoft.DataFactory/factories/privateEndpointConnections/write","Create or Update Private Endpoint Connection",,"False","Create or Update Private Endpoint Connection."
"Microsoft Data Factory","Microsoft.DataFactory/factories/privateEndpointConnections/delete","Delete Private Endpoint Connection",,"False","Delete Private Endpoint Connection."
"Microsoft Data Factory","Microsoft.DataFactory/factories/privateLinkResources/read","Read Private Link Resource",,"False","Read Private Link Resource."
"Microsoft Data Factory","Microsoft.DataFactory/factories/integrationruntimes/outboundNetworkDependenciesEndpoints/read","Get Azure-SSIS Integration Runtime outbound network dependencies",,"False","Get Azure-SSIS Integration Runtime outbound network dependency endpoints for the specified Integration Runtime."
"Microsoft DataLakeAnalytics","Microsoft.DataLakeAnalytics/register/action","Register to DataLakeAnalytics",,"False","Register subscription to DataLakeAnalytics."
"Microsoft DataLakeAnalytics","Microsoft.DataLakeAnalytics/operations/read","Get Available Operations",,"False","Get available operations of DataLakeAnalytics."
"Microsoft DataLakeAnalytics","Microsoft.DataLakeAnalytics/accounts/read","Get DataLakeAnalytics Account",,"False","Get information about an existing DataLakeAnalytics account."
"Microsoft DataLakeAnalytics","Microsoft.DataLakeAnalytics/accounts/write","Create or Update DataLakeAnalytics Account",,"False","Create or update a DataLakeAnalytics account."
"Microsoft DataLakeAnalytics","Microsoft.DataLakeAnalytics/accounts/delete","Delete DataLakeAnalytics Account",,"False","Delete a DataLakeAnalytics account."
"Microsoft DataLakeAnalytics","Microsoft.DataLakeAnalytics/accounts/transferAnalyticsUnits/action","Transfer AnalyticsUnits",,"False","Transfer SystemMaxAnalyticsUnits among DataLakeAnalytics accounts."
"Microsoft DataLakeAnalytics","Microsoft.DataLakeAnalytics/accounts/TakeOwnership/action","Take Ownership of DataLakeAnalytics Job",,"False","Grant permissions to cancel jobs submitted by other users."
"Microsoft DataLakeAnalytics","Microsoft.DataLakeAnalytics/accounts/operationResults/read","Get DataLakeAnalytics Account OperationResult",,"False","Get result of a DataLakeAnalytics account operation."
"Microsoft DataLakeAnalytics","Microsoft.DataLakeAnalytics/accounts/firewallRules/read","Get Firewall Rule",,"False","Get information about a firewall rule."
"Microsoft DataLakeAnalytics","Microsoft.DataLakeAnalytics/accounts/firewallRules/write","Create or Update Firewall Rule",,"False","Create or update a firewall rule."
"Microsoft DataLakeAnalytics","Microsoft.DataLakeAnalytics/accounts/firewallRules/delete","Delete Firewall Rule",,"False","Delete a firewall rule."
"Microsoft DataLakeAnalytics","Microsoft.DataLakeAnalytics/accounts/dataLakeStoreAccounts/read","Get Linked DataLakeStore Account",,"False","Get information about a linked DataLakeStore account of a DataLakeAnalytics account."
"Microsoft DataLakeAnalytics","Microsoft.DataLakeAnalytics/accounts/dataLakeStoreAccounts/write","Create or Update Linked DataLakeStore Account",,"False","Create or update a linked DataLakeStore account of a DataLakeAnalytics account."
"Microsoft DataLakeAnalytics","Microsoft.DataLakeAnalytics/accounts/dataLakeStoreAccounts/delete","Unlink DataLakeStore Account",,"False","Unlink a DataLakeStore account from a DataLakeAnalytics account."
"Microsoft DataLakeAnalytics","Microsoft.DataLakeAnalytics/accounts/storageAccounts/read","Get Linked Storage Account",,"False","Get information about a linked Storage account of a DataLakeAnalytics account."
"Microsoft DataLakeAnalytics","Microsoft.DataLakeAnalytics/accounts/storageAccounts/write","Create or Update Linked Storage Account",,"False","Create or update a linked Storage account of a DataLakeAnalytics account."
"Microsoft DataLakeAnalytics","Microsoft.DataLakeAnalytics/accounts/storageAccounts/delete","Unlink Storage Account",,"False","Unlink a Storage account from a DataLakeAnalytics account."
"Microsoft DataLakeAnalytics","Microsoft.DataLakeAnalytics/accounts/storageAccounts/Containers/read","Get Storage Container",,"False","Get containers of a linked Storage account of a DataLakeAnalytics account."
"Microsoft DataLakeAnalytics","Microsoft.DataLakeAnalytics/accounts/storageAccounts/Containers/listSasTokens/action","List SAS Tokens",,"False","List SAS tokens for storage containers of a linked Storage account of a DataLakeAnalytics account."
"Microsoft DataLakeAnalytics","Microsoft.DataLakeAnalytics/accounts/computePolicies/read","Get Compute Policy",,"False","Get information about a compute policy."
"Microsoft DataLakeAnalytics","Microsoft.DataLakeAnalytics/accounts/computePolicies/write","Create or Update Compute Policy",,"False","Create or update a compute policy."
"Microsoft DataLakeAnalytics","Microsoft.DataLakeAnalytics/accounts/computePolicies/delete","Delete Compute Policy",,"False","Delete a compute policy."
"Microsoft DataLakeAnalytics","Microsoft.DataLakeAnalytics/locations/capability/read","Get DataLakeAnalytics Subscription Capability",,"False","Get capability information of a subscription regarding using DataLakeAnalytics."
"Microsoft DataLakeAnalytics","Microsoft.DataLakeAnalytics/locations/checkNameAvailability/action","Check DataLakeAnalytics Account Name Availability",,"False","Check availability of a DataLakeAnalytics account name."
"Microsoft DataLakeAnalytics","Microsoft.DataLakeAnalytics/locations/operationResults/read","Get DataLakeAnalytics Account OperationResult",,"False","Get result of a DataLakeAnalytics account operation."
"Microsoft DataLakeAnalytics","Microsoft.DataLakeAnalytics/locations/usages/read","Get DataLakeAnalytics Subscription Quota Usages",,"False","Get quota usages information of a subscription regarding using DataLakeAnalytics."
"Microsoft DataLakeAnalytics","Microsoft.DataLakeAnalytics/accounts/virtualNetworkRules/read","Get Virtual Network Rule",,"False","Get information about a virtual network rule."
"Microsoft DataLakeAnalytics","Microsoft.DataLakeAnalytics/accounts/virtualNetworkRules/write","Create or Update Virtual Network Rule",,"False","Create or update a virtual network rule."
"Microsoft DataLakeAnalytics","Microsoft.DataLakeAnalytics/accounts/virtualNetworkRules/delete","Delete Virtual Network Rule",,"False","Delete a virtual network rule."
"Microsoft DataLakeAnalytics","Microsoft.DataLakeAnalytics/accounts/dataLakeStoreGen2Accounts/read","Get Linked DataLakeStoreGen2 Account",,"False","Get information about a linked DataLakeStoreGen2 account of a DataLakeAnalytics account."
"Microsoft DataLakeAnalytics","Microsoft.DataLakeAnalytics/accounts/dataLakeStoreGen2Accounts/write","Create or Update Linked DataLakeStoreGen2 Account",,"False","Create or update a linked DataLakeStoreGen2 account of a DataLakeAnalytics account."
"Microsoft DataLakeAnalytics","Microsoft.DataLakeAnalytics/accounts/dataLakeStoreGen2Accounts/delete","Unlink DataLakeStoreGen2 Account",,"False","Unlink a DataLakeStoreGen2 account from a DataLakeAnalytics account."
"Microsoft DataLakeStore","Microsoft.DataLakeStore/register/action","Register to DataLakeStore",,"False","Register subscription to DataLakeStore."
"Microsoft DataLakeStore","Microsoft.DataLakeStore/operations/read","Get Available Operations",,"False","Get available operations of DataLakeStore."
"Microsoft DataLakeStore","Microsoft.DataLakeStore/accounts/read","Get DataLakeStore Account",,"False","Get information about an existing DataLakeStore account."
"Microsoft DataLakeStore","Microsoft.DataLakeStore/accounts/write","Create or Update DataLakeStore Account",,"False","Create or update a DataLakeStore account."
"Microsoft DataLakeStore","Microsoft.DataLakeStore/accounts/delete","Delete DataLakeStore Account",,"False","Delete a DataLakeStore account."
"Microsoft DataLakeStore","Microsoft.DataLakeStore/accounts/enableKeyVault/action","Enable Key Vault for DataLakeStore Account",,"False","Enable KeyVault for a DataLakeStore account."
"Microsoft DataLakeStore","Microsoft.DataLakeStore/accounts/Superuser/action","Grant Superuser",,"False","Grant Superuser on Data Lake Store when granted with Microsoft.Authorization/roleAssignments/write."
"Microsoft DataLakeStore","Microsoft.DataLakeStore/accounts/operationResults/read","Get DataLakeStore Account OperationResult",,"False","Get result of a DataLakeStore account operation."
"Microsoft DataLakeStore","Microsoft.DataLakeStore/accounts/firewallRules/read","Get Firewall Rule",,"False","Get information about a firewall rule."
"Microsoft DataLakeStore","Microsoft.DataLakeStore/accounts/firewallRules/write","Create or Update Firewall Rule",,"False","Create or update a firewall rule."
"Microsoft DataLakeStore","Microsoft.DataLakeStore/accounts/firewallRules/delete","Delete Firewall Rule",,"False","Delete a firewall rule."
"Microsoft DataLakeStore","Microsoft.DataLakeStore/accounts/trustedIdProviders/read","Get Trusted Identity Provider",,"False","Get information about a trusted identity provider."
"Microsoft DataLakeStore","Microsoft.DataLakeStore/accounts/trustedIdProviders/write","Create or Update Trusted Identity Provider",,"False","Create or update a trusted identity provider."
"Microsoft DataLakeStore","Microsoft.DataLakeStore/accounts/trustedIdProviders/delete","Delete Trusted Identity Provider",,"False","Delete a trusted identity provider."
"Microsoft DataLakeStore","Microsoft.DataLakeStore/accounts/eventGridFilters/read","Get EventGrid Filter",,"False","Get an EventGrid Filter."
"Microsoft DataLakeStore","Microsoft.DataLakeStore/accounts/eventGridFilters/write","Create or Update EventGrid Filter",,"False","Create or update an EventGrid Filter."
"Microsoft DataLakeStore","Microsoft.DataLakeStore/accounts/eventGridFilters/delete","Delete EventGrid Filter",,"False","Delete an EventGrid Filter."
"Microsoft DataLakeStore","Microsoft.DataLakeStore/locations/capability/read","Get DataLakeStore Subscription Capability",,"False","Get capability information of a subscription regarding using DataLakeStore."
"Microsoft DataLakeStore","Microsoft.DataLakeStore/locations/checkNameAvailability/action","Check DataLakeStore Account Name Availability",,"False","Check availability of a DataLakeStore account name."
"Microsoft DataLakeStore","Microsoft.DataLakeStore/locations/operationResults/read","Get DataLakeStore Account OperationResult",,"False","Get result of a DataLakeStore account operation."
"Microsoft DataLakeStore","Microsoft.DataLakeStore/locations/usages/read","Get DataLakeStore Subscription Quota Usages",,"False","Get quota usages information of a subscription regarding using DataLakeStore."
"Microsoft DataLakeStore","Microsoft.DataLakeStore/accounts/virtualNetworkRules/read","Get Virtual Network Rule",,"False","Get information about a virtual network rule."
"Microsoft DataLakeStore","Microsoft.DataLakeStore/accounts/virtualNetworkRules/write","Create or Update Virtual Network Rule",,"False","Create or update a virtual network rule."
"Microsoft DataLakeStore","Microsoft.DataLakeStore/accounts/virtualNetworkRules/delete","Delete Virtual Network Rule",,"False","Delete a virtual network rule."
"Microsoft DataLakeStore","Microsoft.DataLakeStore/accounts/shares/read","Get Share",,"False","Get information about a share."
"Microsoft DataLakeStore","Microsoft.DataLakeStore/accounts/shares/write","Create or Update Share",,"False","Create or update a share."
"Microsoft DataLakeStore","Microsoft.DataLakeStore/accounts/shares/delete","Delete Share",,"False","Delete a share."
"Microsoft DataLakeStore","Microsoft.DataLakeStore/accounts/cosmosCertMappings/read","Get Cosmos Cert Mapping",,"False","Get information about a Cosmos Cert Mapping."
"Microsoft DataLakeStore","Microsoft.DataLakeStore/accounts/cosmosCertMappings/write","Create or Update Cosmos Cert Mapping",,"False","Create or update a Cosmos Cert Mapping."
"Microsoft DataLakeStore","Microsoft.DataLakeStore/accounts/cosmosCertMappings/delete","Delete Cosmos Cert Mapping",,"False","Delete a Cosmos Cert Mapping."
"Microsoft DataLakeStore","Microsoft.DataLakeStore/accounts/mountpoints/read","Get Mountpoint",,"False","Get information about a mount point."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/privateEndpointConnectionsApproval/action","Private Endpoint Connections Approval",,"False","Determines if user is allowed to approve a private endpoint connection"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/register/action","Register MySQL Resource Provider",,"False","Register MySQL Resource Provider"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/checkNameAvailability/action","Check Server Name Availability",,"False","Verify whether given server name is available for provisioning worldwide for a given subscription."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/locations/performanceTiers/read","List Performance Tiers",,"False","Returns the list of Performance Tiers available."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/virtualNetworkRules/read","List/Get Virtual Network Rule(s)",,"False","Return the list of virtual network rules or gets the properties for the specified virtual network rule."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/virtualNetworkRules/write","Create/Update Virtual Network Rule",,"False","Creates a virtual network rule with the specified parameters or update the properties or tags for the specified virtual network rule."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/virtualNetworkRules/delete","Delete Virtual Network Rule",,"False","Deletes an existing Virtual Network Rule"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/firewallRules/read","List/Get Firewall Rules",,"False","Return the list of firewall rules for a server or gets the properties for the specified firewall rule."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/firewallRules/write","Create/Update Firewall Rule",,"False","Creates a firewall rule with the specified parameters or update an existing rule."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/firewallRules/delete","Delete Firewall Rule",,"False","Deletes an existing firewall rule."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/upgrade/action","",,"False",""
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/start/action","Start MySQL Server",,"False","Starts a specific server."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/stop/action","Stop MySQL Server",,"False","Stops a specific server."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/privateEndpointConnectionsApproval/action","Private Endpoint Connections Approval",,"False","Determines if user is allowed to approve a private endpoint connection"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/resetQueryPerformanceInsightData/action","Reset Query Performance Insight data",,"False","Reset Query Performance Insight data"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/queryTexts/action","List query texts for a list of queries",,"False","Return the texts for a list of queries"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/queryTexts/action","Return the text of a query",,"False","Return the text of a query"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/read","List/Get MySQL Servers",,"False","Return the list of servers or gets the properties for the specified server."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/write","Create/Update MySQL Server",,"False","Creates a server with the specified parameters or update the properties or tags for the specified server."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/delete","Delete MySQL Server",,"False","Deletes an existing server."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/restart/action","Restart MySQL Server",,"False","Restarts a specific server."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/updateConfigurations/action","Batch Update Server Configurations",,"False","Update configurations for the specified server"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/performanceTiers/read","List Performance Tiers",,"False","Returns the list of Performance Tiers available."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/recoverableServers/read","Get Recoverable MySQL Server info",,"False","Return the recoverable MySQL Server info"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/providers/Microsoft.Insights/metricDefinitions/read","Get database metric definitions",,"False","Return types of metrics that are available for databases"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/providers/Microsoft.Insights/diagnosticSettings/read","Read diagnostic setting",,"False","Gets the disagnostic setting for the resource"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/providers/Microsoft.Insights/diagnosticSettings/write","Write diagnostic setting",,"False","Creates or updates the diagnostic setting for the resource"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/configurations/read","List/Get Configurations",,"False","Return the list of configurations for a server or gets the properties for the specified configuration."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/configurations/write","Update Configuration",,"False","Update the value for the specified configuration"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/securityAlertPolicies/read","Get server threat detection policy",,"False","Retrieve details of the server threat detection policy configured on a given server"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/securityAlertPolicies/write","Update server threat detection policy",,"False","Change the server threat detection policy for a given server"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/securityAlertPolicies/read","List server threat detection policies",,"False","Retrieve a list of server threat detection policies configured for a given server"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/providers/Microsoft.Insights/logDefinitions/read","Read the log definitions",,"False","Gets the available logs for MySQL servers"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/topQueryStatistics/read","List/Get Query Statistic(s) for top queries",,"False","Return the list of Query Statistics for the top queries."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/topQueryStatistics/read","Get a Query Statistic",,"False","Return a Query Statistic"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/waitStatistics/read","List Wait Statistics for an instance",,"False","Return wait statistics for an instance"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/waitStatistics/read","Return a wait statistic",,"False","Return a wait statistic"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/locations/operationResults/read","Get MySQL ResourceGroup based Server Operation Results ",,"False","Return ResourceGroup based MySQL Server Operation Results"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/locations/operationResults/read","Get MySQL Server Operation Results",,"False","Return MySQL Server Operation Results"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/locations/securityAlertPoliciesAzureAsyncOperation/read","List/Get Server threat detection operation result.",,"False","Return the list of Server threat detection operation result."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/locations/securityAlertPoliciesOperationResults/read","List/Get Server threat detection operation result.",,"False","Return the list of Server threat detection operation result."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/logFiles/read","List/Get MySQL LogFiles",,"False","Return the list of MySQL LogFiles."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/locations/azureAsyncOperation/read","Get MySQL Server Operation Results",,"False","Return MySQL Server Operation Results"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/databases/read","List/Get MySQL Database",,"False","Return the list of MySQL Databases or gets the properties for the specified Database."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/databases/write","Create/Update MySQL Database",,"False","Creates a MySQL Database with the specified parameters or update the properties for the specified Database."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/databases/delete","Delete MySQL Database",,"False","Deletes an existing MySQL Database."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/operations/read","List/Get MySQL Operations",,"False","Return the list of MySQL Operations."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/advisors/read","Return the list of advisors",,"False","Return the list of advisors"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/advisors/read","Return an advisor",,"False","Return an advisor"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/advisors/createRecommendedActionSession/action","Create a new recommendation action session",,"False","Create a new recommendation action session"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/advisors/recommendedActions/read","Return the list of recommended actions",,"False","Return the list of recommended actions"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/advisors/recommendedActions/read","Return the list of recommended actions",,"False","Return the list of recommended actions"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/advisors/recommendedActions/read","Return a recommended action",,"False","Return a recommended action"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/administrators/read","Get Administrators of MySQL server.",,"False","Gets a list of MySQL server administrators."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/administrators/write","Create/Update Administrator of MySQL server.",,"False","Creates or updates MySQL server administrator with the specified parameters."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/administrators/delete","Delete Administrator of MySQL server.",,"False","Deletes an existing administrator of MySQL server."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/replicas/read","Get MySQL read replicas",,"False","Get read replicas of a MySQL server"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/privateEndpointConnections/read","List/Get Azure Database for MySQL private endpoint connection",,"False","Returns the list of private endpoint connections or gets the properties for the specified private endpoint connection."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/privateEndpointConnections/delete","Delete Azure Database for MySQL private endpoint connection",,"False","Deletes an existing private endpoint connection"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/privateEndpointConnections/write","Approve or Reject Azure Database for MySQL private endpoint connection",,"False","Approves or rejects an existing private endpoint connection"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/locations/privateEndpointConnectionOperationResults/read","Get private endpoint connection operation status",,"False","Gets the result for a private endpoint connection operation"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/locations/privateEndpointConnectionAzureAsyncOperation/read","Get private endpoint connection operation status",,"False","Gets the result for a private endpoint connection operation"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/locations/privateEndpointConnectionProxyOperationResults/read","Get private endpoint connection proxy operation status",,"False","Gets the result for a private endpoint connection proxy operation"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/privateEndpointConnectionProxies/validate/action","Validate Azure Database for MySQL Private Endpoint Connection Creation by NRP",,"False","Validates a private endpoint connection create call from NRP side"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/privateEndpointConnectionProxies/read","List/Get Azure Database for MySQL Private Endpoint Connection Proxy",,"False","Returns the list of private endpoint connection proxies or gets the properties for the specified private endpoint connection proxy."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/privateEndpointConnectionProxies/write","Create/Update Azure Database for MySQL Private Endpoint Connection Proxy",,"False","Creates a private endpoint connection proxy with the specified parameters or updates the properties or tags for the specified private endpoint connection proxy."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/privateEndpointConnectionProxies/delete","Delete Azure Database for MySQL Private Endpoint Connection Proxy",,"False","Deletes an existing private endpoint connection proxy"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/locations/privateEndpointConnectionProxyAzureAsyncOperation/read","Get private endpoint connection proxy operation status",,"False","Gets the result for a private endpoint connection proxy operation"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/keys/read","List/Get Azure Database for MySQL Server Key(s)",,"False","Return the list of server keys or gets the properties for the specified server key."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/keys/write","Create/Update Azure Database for MySQL Server Keys",,"False","Creates a key with the specified parameters or update the properties or tags for the specified server key."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/keys/delete","Delete Azure Database for MySQL Server Key",,"False","Deletes an existing server key."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/locations/serverKeyAzureAsyncOperation/read","Data Encryption server keys operation",,"False","Gets in-progress operations on transparent data encryption server keys"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/locations/serverKeyOperationResults/read","Data Encryption server keys operation",,"False","Gets in-progress operations on data encryption server keys"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/privateLinkResources/read","Get the private link resources for the corresponding MySQL Server",,"False","Get the private link resources for the corresponding MySQL Server"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/locations/administratorAzureAsyncOperation/read","MySQL server administrator operation",,"False","Gets in-progress operations on MySQL server administrators"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/locations/administratorOperationResults/read","Get MySQL server operation results",,"False","Return MySQL Server administrator operation results"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/exports/write","",,"False",""
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/exports/read","",,"False",""
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/exports/read","",,"False",""
"Microsoft DB for MySQL","Microsoft.DBforMySQL/flexibleServers/providers/Microsoft.Insights/metricDefinitions/read","Get database metric definitions",,"False","Return types of metrics that are available for databases"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/flexibleServers/providers/Microsoft.Insights/logDefinitions/read","Read the log definitions",,"False","Gets the available logs for MySQL servers"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/flexibleServers/providers/Microsoft.Insights/diagnosticSettings/read","Read diagnostic setting",,"False","Gets the disagnostic setting for the resource"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/flexibleServers/providers/Microsoft.Insights/diagnosticSettings/write","Write diagnostic setting",,"False","Creates or updates the diagnostic setting for the resource"
"Microsoft DB for MySQL","Microsoft.DBforMySQL/flexibleServers/read","List/Get MySQL Servers",,"False","Return the list of servers or gets the properties for the specified server."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/flexibleServers/write","Create/Update MySQL Server",,"False","Creates a server with the specified parameters or update the properties or tags for the specified server."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/flexibleServers/delete","Delete MySQL Server",,"False","Deletes an existing server."
"Microsoft DB for MySQL","Microsoft.DBforMySQL/servers/performanceTiers/read","List Performance Tiers",,"False","Returns the list of Performance Tiers available."
"Microsoft DB for PostgreSQL","Microsoft.DBforPostgreSQL/privateEndpointConnectionsApproval/action","Private Endpoint Connections Approval",,"False","Determines if user is allowed to approve a private endpoint connection"
"Microsoft DB for PostgreSQL","Microsoft.DBforPostgreSQL/register/action","Register PostgreSQL Resource Provider",,"False","Register PostgreSQL Resource Provider"
"Microsoft DB for PostgreSQL","Microsoft.DBforPostgreSQL/checkNameAvailability/action","Check Server Name Availability",,"False","Verify whether given server name is available for provisioning worldwide for a given subscription."
"Microsoft DB for PostgreSQL","Microsoft.DBforPostgreSQL/locations/performanceTiers/read","List Performance Tiers",,"False","Returns the list of Performance Tiers available."
"Microsoft DB for PostgreSQL","Microsoft.DBforPostgreSQL/servers/virtualNetworkRules/read","List/Get Virtual Network Rule(s)",,"False","Return the list of virtual network rules or gets the properties for the specified virtual network rule."
"Microsoft DB for PostgreSQL","Microsoft.DBforPostgreSQL/servers/virtualNetworkRules/write","Create/Update Virtual Network Rule",,"False","Creates a virtual network rule with the specified parameters or update the properties or tags for the specified virtual network rule."
"Microsoft DB for PostgreSQL","Microsoft.DBforPostgreSQL/servers/virtualNetworkRules/delete","Delete Virtual Network Rule",,"False","Deletes an existing Virtual Network Rule"
"Microsoft DB for PostgreSQL","Microsoft.DBforPostgreSQL/servers/queryTexts/action","List query text of a query",,"False","Return the text of a query"
"Microsoft DB for PostgreSQL","Microsoft.DBforPostgreSQL/servers/resetQueryPerformanceInsightData/action","Reset Query Performance Insight data",,"False","Reset Query Performance Insight data"
